08 12 2018 12 00 00 00000000 00110000    0.112    0.141    0.089    22    21    22  13.6 1521.2 1521.3 295.8 -22.8  29.2   0.000   0.000  19.95     0 15212    0.180    38.46
08 12 2018 12 01 00 00000000 00110000    0.288    0.004    0.032    22    21    22  13.6 1521.2 1521.4 300.6 -22.8  29.3   0.000   0.000  19.96     0 15212    0.288    89.20
08 12 2018 12 02 00 00000000 00110000    0.026    0.087    0.145    22    21    22  13.6 1521.2 1521.4 301.8 -22.8  29.3   0.000   0.000  19.96     0 15212    0.091    16.64
08 12 2018 12 03 00 00000000 00110000    0.062   -0.014   -0.190    22    21    22  13.6 1521.3 1521.4 297.7 -22.7  29.2   0.000   0.000  19.97     0 15213    0.064   102.72
08 12 2018 12 04 00 00000000 00110000   -0.076   -0.109   -0.042    22    21    22  13.6 1521.3 1521.4 298.8 -22.8  29.2   0.000   0.000  19.97     0 15213    0.133   214.89
08 12 2018 12 05 00 00000000 00110000    0.205    0.072    0.021    22    21    22  13.6 1521.3 1521.4 297.9 -22.8  29.2   0.000   0.000  19.98     0 15213    0.217    70.65
08 12 2018 12 06 00 00000000 00110000   -0.141    0.095    0.182    22    21    22  13.6 1521.3 1521.4 297.6 -22.8  29.2   0.000   0.000  19.98     0 15213    0.170   303.97
08 12 2018 12 07 00 00000000 00110000    0.045    0.004    0.019    22    21    22  13.7 1521.3 1521.4 293.8 -22.8  29.3   0.000   0.000  19.98     0 15213    0.045    84.92
08 12 2018 12 08 00 00000000 00110000   -0.065    0.008   -0.122    22    21    22  13.7 1521.3 1521.4 300.8 -22.8  29.2   0.000   0.000  19.99     0 15213    0.065   277.02
08 12 2018 12 09 00 00000000 00110000   -0.099    0.017    0.150    22    21    22  13.6 1521.3 1521.4 295.4 -22.8  29.2   0.000   0.000  19.99     0 15213    0.100   279.74
08 12 2018 12 10 00 00000000 00110000    0.095    0.084    0.376    22    21    22  13.7 1521.4 1521.5 297.4 -22.8  29.2   0.000   0.000  20.00     0 15214    0.127    48.52
08 12 2018 12 11 00 00000000 00110000    0.047    0.071   -0.318    22    21    22  13.7 1521.4 1521.5 297.8 -22.8  29.2   0.000   0.000  20.00     0 15214    0.085    33.50
08 12 2018 12 12 00 00000000 00110000   -0.126    0.019   -0.086    22    21    22  13.7 1521.4 1521.5 299.4 -22.8  29.2   0.000   0.000  20.01     0 15214    0.127   278.58
08 12 2018 12 13 00 00000000 00110000    0.077   -0.041   -0.011    22    21    22  13.7 1521.4 1521.5 299.0 -22.8  29.2   0.000   0.000  20.01     0 15214    0.087   118.03
08 12 2018 12 14 00 00000000 00110000    0.022   -0.035   -0.137    22    21    22  13.7 1521.4 1521.5 299.5 -22.8  29.2   0.000   0.000  20.02     0 15214    0.041   147.85
08 12 2018 12 15 00 00000000 00110000   -0.006   -0.157    0.220    22    21    21  13.7 1521.4 1521.5 302.5 -22.8  29.3   0.000   0.000  20.02     0 15214    0.157   182.19
08 12 2018 12 16 00 00000000 00110000   -0.040    0.184    0.333    22    21    22  13.7 1521.4 1521.5 298.3 -22.8  29.2   0.000   0.000  20.03     0 15214    0.188   347.74
08 12 2018 12 17 00 00000000 00110000   -0.141    0.055    0.399    22    21    22  13.7 1521.4 1521.5 300.0 -22.8  29.2   0.000   0.000  20.03     0 15214    0.151   291.31
08 12 2018 12 18 00 00000000 00110000   -0.023   -0.070    0.027    22    21    22  13.7 1521.5 1521.6 298.9 -22.8  29.3   0.000   0.000  20.04     0 15215    0.074   198.19
08 12 2018 12 19 00 00000000 00110000    0.082    0.107    0.057    22    21    22  13.7 1521.5 1521.6 296.3 -22.8  29.2   0.000   0.000  20.04     0 15215    0.135    37.46
08 12 2018 12 20 00 00000000 00110000   -0.202    0.014    0.145    22    21    22  13.7 1521.5 1521.6 296.5 -22.8  29.3   0.000   0.000  20.05     0 15215    0.202   273.96
08 12 2018 12 21 00 00000000 00110000    0.255    0.120    0.053    22    21    22  13.7 1521.5 1521.6 300.3 -22.8  29.2   0.000   0.000  20.05     0 15215    0.282    64.80
08 12 2018 12 22 00 00000000 00110000    0.006   -0.102   -0.408    22    21    22  13.7 1521.5 1521.6 297.1 -22.8  29.2   0.000   0.000  20.05     0 15215    0.102   176.63
08 12 2018 12 23 00 00000000 00110000    0.237   -0.174    0.117    22    21    22  13.7 1521.5 1521.6 300.1 -22.8  29.2   0.000   0.000  20.06     0 15215    0.294   126.29
08 12 2018 12 24 00 00000000 00110000   -0.168    0.080    0.108    22    21    22  13.7 1521.5 1521.6 301.4 -22.8  29.3   0.000   0.000  20.06     0 15215    0.186   295.46
08 12 2018 12 25 00 00000000 00110000   -0.080    0.131    0.098    22    21    22  13.7 1521.5 1521.6 298.1 -22.8  29.2   0.000   0.000  20.06     0 15215    0.154   328.59
08 12 2018 12 26 00 00000000 00110000    0.136   -0.004    0.154    22    21    22  13.7 1521.6 1521.7 296.5 -22.9  29.3   0.000   0.000  20.07     0 15216    0.136    91.68
08 12 2018 12 27 00 00000000 00110000   -0.002    0.310    0.241    22    21    22  13.7 1521.6 1521.7 297.4 -22.8  29.2   0.000   0.000  20.07     0 15216    0.310   359.63
08 12 2018 12 28 00 00000000 00110000    0.206   -0.257   -0.163    22    21    22  13.7 1521.6 1521.7 296.1 -22.8  29.2   0.000   0.000  20.07     0 15216    0.329   141.29
08 12 2018 12 29 00 00000000 00110000   -0.134   -0.054   -0.011    22    21    22  13.7 1521.6 1521.7 295.3 -22.8  29.2   0.000   0.000  20.08     0 15216    0.144   248.05
08 12 2018 12 30 00 00000000 00110000   -0.051   -0.140   -0.185    22    21    22  13.7 1521.6 1521.7 300.4 -22.8  29.2   0.000   0.000  20.08     0 15216    0.149   200.02
08 12 2018 12 31 00 00000000 00110000    0.173   -0.027    0.024    22    21    22  13.7 1521.6 1521.7 299.2 -22.8  29.2   0.000   0.000  20.09     0 15216    0.175    98.87
08 12 2018 12 32 00 00000000 00110000   -0.005    0.142    0.103    22    21    22  13.7 1521.6 1521.7 298.0 -22.9  29.2   0.000   0.000  20.09     0 15216    0.142   357.98
08 12 2018 12 33 00 00000000 00110000    0.053   -0.147   -0.032    22    21    22  13.7 1521.6 1521.7 299.1 -22.8  29.2   0.000   0.000  20.09     0 15216    0.156   160.17
08 12 2018 12 34 00 00000000 00110000   -0.209   -0.055   -0.211    22    21    22  13.7 1521.7 1521.7 285.0 -22.8  29.2   0.000   0.000  20.10     0 15217    0.216   255.26
08 12 2018 12 35 00 00000000 00110000    0.044    0.232    0.043    22    21    22  13.7 1521.7 1521.7 261.0 -22.8  29.2   0.000   0.000  20.10     0 15217    0.236    10.74
08 12 2018 12 36 00 00000000 00110000   -0.133    0.060   -0.085    22    21    22  13.7 1521.7 1521.8 246.0 -22.8  29.2   0.000   0.000  20.11     0 15217    0.146   294.28
08 12 2018 12 37 00 00000000 00110000   -0.003    0.131    0.107    22    21    22  13.7 1521.7 1521.8 239.8 -22.8  29.3   0.000   0.000  20.11     0 15217    0.131   358.69
08 12 2018 12 38 00 00000000 00110000    0.148    0.155   -0.150    22    21    22  13.7 1521.7 1521.8 238.8 -22.8  29.2   0.000   0.000  20.12     0 15217    0.214    43.68
08 12 2018 12 39 00 00000000 00110000    0.225   -0.044    0.079    22    21    22  13.7 1521.7 1521.8 239.9 -22.8  29.2   0.000   0.000  20.12     0 15217    0.229   101.06
08 12 2018 12 40 00 00000000 00110000    0.049    0.194   -0.180    22    21    22  13.7 1521.7 1521.8 239.0 -22.8  29.2   0.000   0.000  20.12     0 15217    0.200    14.18
08 12 2018 12 41 00 00000000 00110000   -0.332   -0.095    0.071    22    21    22  13.7 1521.7 1521.8 238.9 -22.8  29.2   0.000   0.000  20.12     0 15217    0.345   254.03
08 12 2018 12 42 00 00000000 00110000   -0.093   -0.007    0.188    22    21    22  13.7 1521.7 1521.8 240.7 -22.8  29.2   0.000   0.000  20.12     0 15217    0.093   265.70
08 12 2018 12 43 00 00000000 00110000   -0.295    0.007    0.165    22    21    22  13.7 1521.7 1521.8 240.1 -22.8  29.2   0.000   0.000  20.13     0 15217    0.295   271.36
08 12 2018 12 44 00 00000000 00110000   -0.066    0.118   -0.232    22    21    22  13.7 1521.7 1521.8 239.9 -22.8  29.2   0.000   0.000  20.13     0 15217    0.135   330.78
08 12 2018 12 45 00 00000000 00110000    0.139   -0.021   -0.130    22    21    22  13.7 1521.7 1521.8 239.5 -22.8  29.2   0.000   0.000  20.13     0 15217    0.141    98.59
08 12 2018 12 46 00 00000000 00110000   -0.080   -0.144    0.008    22    21    22  13.7 1521.7 1521.8 240.5 -22.8  29.2   0.000   0.000  20.12     0 15217    0.165   209.05
08 12 2018 12 47 00 00000000 00110000   -0.119   -0.014    0.136    22    21    22  13.7 1521.7 1521.8 240.9 -22.8  29.2   0.000   0.000  20.12     0 15217    0.120   263.29
08 12 2018 12 48 00 00000000 00110000    0.044    0.283   -0.312    22    21    22  13.7 1521.7 1521.8 240.1 -22.7  29.3   0.000   0.000  20.12     0 15217    0.286     8.84
